Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
3f8b05d5-e308-5487-555e-c27195b78737,2001-07-03,,999-33-8435,S99926912,X59166194X,Mr.,Thaddeus38,Gene733,Mohr916,,,,black,nonhispanic,M,East Douglas  Massachusetts  US,109 Langosh Dale Suite 19,Norwood,Massachusetts,Norfolk County,25021,02062,42.18588784541202,-71.15448538438508,38948.52,19399.31,71238
fa06216a-76f7-c75d-ef7b-8c1e9236848b,1977-02-15,,999-61-5594,S99939930,X55723777X,Mr.,Quincy153,Norris589,Brakus656,,,D,white,nonhispanic,M,Methuen  Massachusetts  US,918 Shields Annex,Haverhill,Massachusetts,Essex County,25009,01830,42.83302499732323,-71.13133416490645,8614.91,134208.95,16980
6b4f5bfa-3586-2f99-b3eb-aafa204beac9,1963-07-09,,999-77-7941,S99917135,X54658470X,Mr.,Tomas436,Elijah719,Lindgren255,,,M,white,nonhispanic,M,Wilmington  Massachusetts  US,212 Kshlerin Terrace Apt 65,Plymouth,Massachusetts,Plymouth County,25023,02360,41.9015270690454,-70.58597979093454,195389.93,25578.20,107290
a84052f7-8d99-b933-9b26-703cd2d24d66,1962-02-03,,999-81-9665,S99947396,X24573360X,Mrs.,Marvella276,Lucila204,Ryan260,,Koch169,M,white,nonhispanic,F,Billerica  Massachusetts  US,448 Ritchie Center Suite 68,Everett,Massachusetts,Middlesex County,25017,02148,42.379206264203255,-71.06551251206014,668551.06,155599.47,110910
ef46b57b-58aa-1208-1d41-d71f0ea87221,2011-12-30,,999-27-5926,,,,Marge692,Grazyna952,Heathcote539,,,,white,nonhispanic,F,Melrose  Massachusetts  US,708 Yost Terrace Suite 62,Forestdale,Massachusetts,Barnstable County,25001,02644,41.718563958452954,-70.46608066364952,36023.77,501.18,118601
bd5720df-dddf-d0c5-e10f-21f8deac77d8,2006-07-28,,999-96-8801,S99965145,,Mr.,Adolph80,,Ziemann98,,,,white,nonhispanic,M,Wilmington  Massachusetts  US,803 Hilpert Vista,Pembroke,Massachusetts,Plymouth County,,00000,42.02359539533444,-70.81428115812945,34858.14,37655.14,677792
27991a58-f8b3-4a03-3c70-8322b37f665c,1981-06-26,,999-28-7051,S99934921,X12133877X,Mrs.,Meaghan273,Serina556,Willms744,,Gaylord332,M,white,nonhispanic,F,Amherst  Massachusetts  US,1039 Larson Mill Suite 37,Peabody,Massachusetts,Essex County,25009,01960,42.56186160485938,-71.04677933767397,199178.99,472908.06,148100
2494e998-c6dc-973f-34da-859d22e3412b,1959-11-13,,999-37-5159,S99986586,X42833108X,Mr.,Cody889,Forest317,Bailey598,,,S,white,nonhispanic,M,Boston  Massachusetts  US,830 Sporer Light Apt 85,Southwick,Massachusetts,Hampden County,,00000,42.05677889704371,-72.74532507466543,168203.45,47251.37,39094
fee62ca0-872a-18a1-4ac9-83b614fbc49f,2023-09-10,,999-86-2644,,,,Alexander630,Casey401,Botsford977,,,,native,nonhispanic,M,Fall River  Massachusetts  US,732 Wuckert Corner,Springfield,Massachusetts,Hampden County,25013,01128,42.07120269143814,-72.54618340969824,8420.34,17.02,59883
c3a2b59a-a2f4-d951-da2d-210704dcf307,1955-07-19,2000-10-13,999-54-3226,S99953370,X89253084X,Ms.,Thuy136,Sherry479,Okuneva707,,,S,white,nonhispanic,F,Framingham  Massachusetts  US,1065 Bogan Loaf Apt 70,Newburyport,Massachusetts,Essex County,25009,01951,42.822920982643716,-70.88560826038606,221213.64,712878.50,25966
d9a2e963-3812-a62a-fd67-311c5d21ec4e,1967-02-01,,999-12-1138,S99920231,X27802892X,Mrs.,Marylynn944,Yelena240,Jast432,,Luettgen772,M,white,nonhispanic,F,Bridgewater  Massachusetts  US,738 Macejkovic Mill,Shrewsbury,Massachusetts,Worcester County,,00000,42.244030115861364,-71.73523921444728,261546.68,286530.16,133789
94123c2b-6793-6729-b5e7-0f223213cb31,2008-07-09,,999-99-4893,S99957539,,,Florentino8,Burton124,Kuhic920,,,,white,nonhispanic,M,Wilmington  Massachusetts  US,342 Stark Way Unit 67,Haverhill,Massachusetts,Essex County,25009,01835,42.74047676756141,-71.11739550641317,88599.56,663404.66,35086
2ab17e95-cc73-76ff-8f4a-d4ae73044fd4,1945-05-01,,999-28-8194,S99982647,X34351783X,Ms.,Nisha529,Lorinda137,Kilback373,,,S,white,nonhispanic,F,North Andover  Massachusetts  US,740 Windler Viaduct,Malden,Massachusetts,Middlesex County,25017,02155,42.43083143468661,-71.07690774313464,658963.56,448629.75,69493
f89f5c3f-f759-9bb5-08e4-28ca58afc31f,1995-09-03,,999-10-8565,S99964984,X32303718X,Mrs.,Gabriele201,Margurite588,Reilly981,,Wehner319,M,hawaiian,nonhispanic,F,Watertown  Massachusetts  US,515 Treutel Course,Brockton,Massachusetts,Plymouth County,25023,02302,42.05964070785615,-71.01242870530851,116512.05,828218.88,29948
d1bc1011-b838-57cf-2821-1563925e545c,1955-07-19,2006-01-17,999-62-7352,S99985290,X49075778X,Ms.,Babette571,Williemae619,Baumbach677,,,S,white,nonhispanic,F,Millers Falls  Massachusetts  US,479 Bahringer Village Suite 11,Newburyport,Massachusetts,Essex County,25009,01951,42.86024399568977,-70.88480598777087,193499.24,1013062.29,25966
ffedfc46-8fe0-b5e9-8fe3-298204f335fa,1992-04-01,,999-54-2519,S99964187,X41558765X,Mr.,Adalberto916,,Borer986,,,M,white,nonhispanic,M,Hingham  Massachusetts  US,430 Robel Skyway,Boston,Massachusetts,Suffolk County,25025,02122,42.34067620927687,-71.08846180908239,8531.41,426241.62,4841
4d1d1986-0af4-9252-f83e-51408f8a36cc,1969-03-10,,999-92-6141,S99913211,X54794469X,Mr.,Keenan632,Nathanial472,Gorczany269,,,S,white,nonhispanic,M,Webster  Massachusetts  US,1086 Hickle Way,Norton,Massachusetts,Bristol County,,00000,41.96655346406892,-71.19608143221613,257083.04,0.00,85030
97ec2545-e818-1823-e15c-7b0b5581ce76,2016-11-06,,999-48-7470,,,,Randy380,Zachariah133,Goodwin327,,,,white,nonhispanic,M,Haverhill  Massachusetts  US,533 Howell Plaza,Revere,Massachusetts,Suffolk County,25025,02151,42.44932633329978,-71.00641996797222,13176.46,5299.24,41226
c82178c0-41c0-c2fa-3f0e-206f08a3e818,1983-02-25,,999-36-8084,S99950152,X3116692X,Mr.,Josef103,Rigoberto443,Greenfelder433,,,S,white,nonhispanic,M,Swansea  Massachusetts  US,942 Huels Green Unit 20,Haverhill,Massachusetts,Essex County,25009,01832,42.78209192794853,-71.10375693720604,93337.55,0.00,79351
782fc150-1c37-3063-ea51-cb8f09fe56f2,1955-07-19,2021-09-04,999-86-5181,S99943041,X70651842X,Mrs.,Anette189,Elaine830,Brown30,,Abbott774,M,white,nonhispanic,F,East Douglas  Massachusetts  US,445 Harber Highlands,Newburyport,Massachusetts,Essex County,25009,01950,42.856571614535426,-70.8645595745406,132636.84,412290.51,25966
4a9207b5-b12a-6e86-798c-b5aaebfb9989,1976-02-09,,999-14-5402,S99911671,X69079024X,Mrs.,Charlott617,Lila466,Keebler762,,Cassin499,M,white,nonhispanic,F,Salem  Massachusetts  US,1029 Corwin Burg,Plymouth,Massachusetts,Plymouth County,25023,02360,41.864325766177785,-70.60197531703012,530420.72,376182.04,92807
2008e178-bea2-1659-c87b-2e4fa58f0789,1975-02-12,,999-93-4872,S99941786,X43541187X,Mr.,Rick943,,Mann644,,,M,white,nonhispanic,M,Boston  Massachusetts  US,505 Schowalter Port Suite 52,Salem,Massachusetts,Essex County,25009,01970,42.490498443043016,-70.87038927763238,195002.53,588431.38,471491
a33c8ba8-69c3-2ff1-63e3-09de5384a7f7,1955-12-25,,999-40-1414,S99937238,X16342209X,Mr.,Kerry175,Rudolf736,Zboncak558,,,M,white,nonhispanic,M,Canton  Massachusetts  US,509 Grady View Suite 73,Quincy,Massachusetts,Norfolk County,25021,02170,42.323105072766865,-71.0047503121622,473625.71,341321.24,45370
1f16793f-b1bf-b1c3-b400-087d84e3ce23,2016-07-30,,999-57-3899,,,,Eulalia351,,Smitham825,,,,white,hispanic,F,Milton  Massachusetts  US,155 Morissette Promenade,Lawrence,Massachusetts,Essex County,25009,01841,42.68652415564108,-71.17705892178233,13954.81,8855.93,150934
8e45a200-1035-83c0-1ea7-971c3834d9f3,1981-11-19,,999-45-9410,S99961412,X2692046X,Mr.,Quintin944,Jesse626,Hessel84,PhD,,M,white,nonhispanic,M,Russell  Massachusetts  US,1023 Schowalter Track Suite 0,Danvers,Massachusetts,Essex County,25009,01923,42.57407592242729,-70.96007160340788,36318.46,132935.91,42254
